"league","season","player_name","player_position","Age","league_2","transfer_fee","window","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","SoT_per_90_Standard","G_per_SoT_Standard","xG_Expected","G_minus_xG_Expected","Tkl_Tackles","TklW_Tackles","Tkl_Challenges","Tkl_percent_Challenges","Lost_Challenges","Sh_Blocks","Pass_Blocks","Int","Tkl.Int","Clr","Err","Cmp_Total","Att_Total","Cmp_percent_Total","Ast","xAG","xA_Expected","A_minus_xAG_Expected"
"Bundesliga",2019,"Lucas Hernandez","Defender",22,"LaLiga",8e+07,"Summer",12.4,1,5,1,20,0.08,1,0.8,0.2,35,25,17,85,3,9,8,14,49,49,0,448,557,80.4,0,0.8,0.7,-0.8
"Bundesliga",2019,"Mats Hummels","Defender",29,"Bundesliga",30500000,"Summer",19.7,1,19,5,26.3,0.25,0.2,2.4,-1.4,26,17,9,37.5,15,8,12,34,60,50,1,1558,1751,89,1,1,1.6,0
"Bundesliga",2019,"Thorgan Hazard","Forward",25,"Bundesliga",25500000,"Summer",31.9,10,70,22,31.4,0.69,0.32,9.8,0.2,50,33,17,35.4,31,2,33,27,77,12,0,975,1392,70,11,8.9,9.7,2.1
"Bundesliga",2019,"Nico Schulz","Defender",25,"Bundesliga",25500000,"Summer",28.2,1,30,8,26.7,0.28,0.13,2.3,-1.3,34,20,15,41.7,21,4,28,24,58,36,0,1170,1565,74.8,5,10.5,10.3,-5.5
"Bundesliga",2019,"Julian Brandt","Midfielder",22,"Bundesliga",2.5e+07,"Summer",29.6,7,65,25,38.5,0.84,0.28,8,-1,27,16,7,16.3,36,1,26,17,44,12,1,1443,1877,76.9,11,9.3,8.9,1.7
"Bundesliga",2019,"Christopher Nkunku","Midfielder",20,"Ligue 1",19500000,"Summer",12.8,3,23,5,21.7,0.39,0.6,2.6,0.4,21,16,7,43.8,9,2,10,9,30,7,1,572,645,88.7,2,3.1,2.5,-1.1
"Bundesliga",2019,"Ademola Lookman","Forward",20,"Premier League",1.8e+07,"Summer",6.9,0,12,3,25,0.44,0,1.4,-1.4,15,7,4,66.7,2,0,10,7,22,2,0,224,274,81.8,2,1.4,1,0.6
"Bundesliga",2019,"Kerem Demirbay","Midfielder",25,"Bundesliga",3.2e+07,"Summer",22.4,4,59,16,27.1,0.71,0.25,4.5,-0.5,57,35,11,21.6,40,10,24,22,79,25,0,1094,1423,76.9,9,7.4,7.7,1.6
"Bundesliga",2019,"Moussa Diaby","Forward",19,"Ligue 1",1.5e+07,"Summer",12.7,2,23,7,30.4,0.55,0.29,2.2,-0.2,14,8,2,18.2,9,1,6,12,26,6,0,447,562,79.5,6,3.9,3.3,2.1
"Bundesliga",2019,"Nadiem Amiri","Midfielder",21,"Bundesliga",9e+06,"Summer",8.4,3,18,6,33.3,0.72,0.5,2.2,0.8,14,9,3,23.1,10,0,11,7,21,4,0,320,375,85.3,1,1.4,1.5,-0.4
"Bundesliga",2019,"Breel Embolo","Forward",21,"Bundesliga",1.1e+07,"Summer",14.9,5,26,13,50,0.87,0.38,4.2,0.8,22,17,1,11.1,8,0,11,4,26,6,0,165,262,63,1,2.9,1.6,-1.9
"Bundesliga",2019,"Ramy Bensebaini","Defender",23,"Ligue 1",8e+06,"Summer",23.9,1,17,3,17.6,0.13,0.33,1.2,-0.2,69,48,40,69,18,10,14,41,110,98,0,979,1272,77,0,1.1,1.3,-1.1
"Bundesliga",2019,"Jacob Bruun Larsen","Forward",19,"Bundesliga",9e+06,"Winter",14.1,2,26,9,34.6,0.64,0.22,3.3,-1.3,15,9,7,41.2,10,1,14,13,28,12,0,412,536,76.9,2,3.5,2.4,-1.5
"2. Bundesliga",2019,"Benito Raman","Forward",23,"Bundesliga",1e+07,"Summer",18.7,10,55,26,47.3,1.39,0.38,7.4,2.6,35,20,11,20.8,42,2,28,15,50,8,0,307,462,66.5,4,2.7,2.8,1.3
"2. Bundesliga",2019,"Lucas Tousart","Midfielder",21,"Ligue 1",2.5e+07,"Winter",19.2,0,24,5,20.8,0.26,0,0.9,-0.9,74,38,25,42.4,34,13,17,26,100,27,0,854,983,86.9,0,0.5,0.7,-0.5
"2. Bundesliga",2019,"Krzysztof Piatek","Forward",23,"Serie A",2.4e+07,"Winter",15.3,9,41,21,51.2,1.38,0.43,6.9,2.1,8,6,3,30,7,2,5,1,9,15,0,191,250,76.4,0,1.2,0.6,-1.2
"2. Bundesliga",2019,"Matheus Cunha","Forward",19,"Bundesliga",1.8e+07,"Winter",9.5,2,34,10,29.4,1.06,0.2,4.2,-2.2,10,6,3,23.1,10,1,12,4,14,8,0,155,236,65.7,0,0.7,0.9,-0.7
"Bundesliga",2019,"Martin Hinteregger","Defender",25,"Bundesliga",9e+06,"Summer",17.5,2,17,4,23.5,0.23,0.5,0.9,1.1,48,35,24,68.6,11,13,11,22,70,68,0,643,860,74.8,0,0.7,0.6,-0.7
"Bundesliga",2019,"Dominik Kohr","Midfielder",24,"Bundesliga",8500000,"Summer",10.8,0,15,4,26.7,0.37,0,1.4,-1.4,42,29,14,40,21,12,13,15,57,17,1,404,508,79.5,2,1.7,0.5,0.3
"Bundesliga",2019,"Vincenzo Grifo","Forward",25,"Bundesliga",7e+06,"Summer",3.7,1,14,2,14.3,0.54,0,1.5,-0.5,6,3,0,0,5,1,1,2,8,5,0,123,185,66.5,2,0.6,0.7,1.4
"Bundesliga",2019,"Jonathan Schmid","Midfielder",28,"Bundesliga",4e+06,"Summer",28,3,17,9,52.9,0.32,0.33,0.8,2.2,44,22,16,57.1,12,8,14,43,87,70,2,1104,1406,78.5,7,3.3,3.5,3.7
"Bundesliga",2019,"Florian Niederlechner","Forward",27,"Bundesliga",2500000,"Summer",10.8,4,31,18,58.1,1.67,0.22,4.6,-0.6,7,5,0,0,5,4,8,6,13,10,0,120,179,67,1,0.7,0.6,0.3
"Bundesliga",2019,"Ellyes Skhiri","Midfielder",23,"Ligue 1",6e+06,"Summer",34.3,3,25,5,20,0.15,0.6,1.2,1.8,105,58,43,47.3,48,7,53,60,165,41,0,1428,1673,85.4,2,1.2,1.7,0.8
"2. Bundesliga",2019,"Dawid Kownacki","Forward",21,"Serie A",6750000,"Winter",1.9,1,4,1,25,0.54,0,1.9,-0.9,2,1,1,25,3,0,0,0,2,0,0,65,83,78.3,1,0.6,0.3,0.4
